RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,11290,성북구,10200,성북동1가,1,대지,0035,0022,휴아름스튜디오,2025-03-10,17300,13.57,0.0,10.0,,,2015,아파트,중개거래,서울 성북구
2025,11710,송파구,11100,방이동,1,대지,0043,0000,대명벨리온,2025-03-10,16800,17.32,28.105,17.0,,,null,오피스텔,중개거래,서울 송파구
2025,11740,강동구,10900,천호동,1,대지,0432,0010,쌍용플래티넘리버,2025-03-10,19500,34.2,46.65,11.0,,,2004,오피스텔,중개거래,서울 강동구
2025,11200,성동구,10800,응봉동,1,대지,0098,0000,금호현대,2025-03-10,90000,59.91,0.0,8.0,,,1990,아파트,중개거래,서울 성동구
2025,11650,서초구,10800,서초동,1,대지,1509,0001,서초한빛삼성,2025-03-10,176000,99.09,0.0,7.0,,,1999,아파트,중개거래,"서울 서초구, 서울 용산구"
2025,11350,노원구,10500,상계동,1,대지,1251,0000,노원우성,2025-03-10,64000,84.88,0.0,5.0,,,1992,아파트,중개거래,서울 노원구
2025,11530,구로구,10200,구로동,1,대지,0685,0147,현대상선,2025-03-10,52500,64.53,0.0,2.0,,,1987,아파트,중개거래,서울 구로구
2025,11530,구로구,10200,구로동,1,대지,0685,0070,현대연예인,2025-03-10,65800,84.91,0.0,12.0,,,1989,아파트,중개거래,서울 구로구
2025,11500,강서구,10300,화곡동,1,대지,0024,0336,한길주택,2025-03-10,8850,38.53,32.0,2.0,,,1986,연립다세대,중개거래,서울 강서구
2025,11530,구로구,10200,구로동,1,대지,0685,0070,현대연예인,2025-03-10,65800,84.91,0.0,12.0,,20250310,1989,아파트,중개거래,서울 구로구
2025,11500,강서구,10500,마곡동,1,대지,0760,0000,마곡나루역보타닉푸르지오시티,2025-03-10,18800,22.17,31.61,8.0,,,2017,오피스텔,중개거래,서울 강서구
2025,11380,은평구,10800,역촌동,1,대지,0226,0002,골든네스트,2025-03-10,29000,53.42,32.0,4.0,,,2017,연립다세대,중개거래,서울 은평구
2025,11620,관악구,10100,봉천동,1,대지,0728,0163,(728-163),2025-03-10,45000,46.13,28.0,2.0,,,2002,연립다세대,중개거래,서울 관악구
2025,11215,광진구,10900,군자동,1,대지,0355,0005,에피소드1,2025-03-10,24000,17.81,0.0,2.0,,,2014,아파트,중개거래,서울 광진구
2025,11380,은평구,10500,구산동,1,대지,0199,0025,구산,2025-03-10,41000,124.28,0.0,7.0,,,2005,아파트,직거래,
2025,11740,강동구,10300,상일동,1,대지,0521,0000,고덕자이,2025-03-10,157400,84.739,0.0,5.0,,,2021,아파트,중개거래,서울 강동구
2025,11650,서초구,10800,서초동,1,대지,1674,0005,하림인터내셔날 오피스텔,2025-03-10,28800,24.12,40.19,14.0,,,2013,오피스텔,중개거래,서울 서초구
2025,11380,은평구,10300,불광동,1,대지,0480,0120,이지마루,2025-03-10,27000,15.8,20.0,3.0,,,2021,연립다세대,중개거래,서울 은평구
2025,11380,은평구,10700,응암동,1,대지,0749,0042,(749-42),2025-03-10,15000,29.14,11.0,1.0,,,1986,연립다세대,중개거래,서울 은평구
2025,11380,은평구,10400,갈현동,1,대지,0450,0027,(450-27),2025-03-10,8000,48.49,24.0,-1.0,,,1995,연립다세대,중개거래,서울 은평구
2025,11230,동대문구,10100,신설동,1,대지,0100,0022,(100-22),2025-03-10,13000,31.35,48.16,10.0,,,1992,오피스텔,직거래,
2025,11500,강서구,10600,내발산동,1,대지,0753,0000,마곡수명산파크4단지,2025-03-09,96000,84.96,0.0,3.0,,,2008,아파트,중개거래,서울 강서구
2025,11620,관악구,10100,봉천동,1,대지,0869,0003,프라비다1,2025-03-09,16400,14.38,0.0,18.0,,,2012,아파트,중개거래,서울 관악구
2025,11470,양천구,10200,목동,1,대지,0911,0000,목동신시가지6,2025-03-09,198000,65.1,0.0,18.0,,,1986,아파트,중개거래,서울 양천구
2025,11680,강남구,10500,삼성동,1,대지,0146,0000,포스코트,2025-03-09,310000,154.24,0.0,15.0,,,2003,아파트,중개거래,서울 강남구
2025,11380,은평구,10300,불광동,1,대지,0484,0009,아름다운집(484-9),2025-03-09,32000,52.01,25.0,4.0,,,2003,연립다세대,중개거래,서울 은평구
2025,11470,양천구,10300,신월동,1,대지,0987,0001,신월시영,2025-03-09,45800,43.2,0.0,10.0,,,1988,아파트,중개거래,"서울 강서구, 서울 양천구"
